timestamp,value
1747760523,40.0
1747760533,40.0
1747760538,40.0
1747760543,40.0
1747760548,40.0
1747760558,40.3
1747760563,44.3
1747760583,45.7
1747760588,50.0
1747760603,52.0
1747760608,54.0
1747760613,56.0
1747760618,58.0
1747760628,60.0
1747760638,65.0
1747760648,68.0
1747760663,72.0
1747760673,77.0
1747760678,80.0
1747760683,82.0
1747760693,85.0
1747760698,84.0
1747760703,76.0
1747760718,71.0
1747760733,68.0
1747760738,58.0
1747760743,50.0
1747760758,44.0
1747760763,41.0
1747760778,44.0
1747760788,47.0
1747760793,51.0
1747760798,55.0
1747760808,59.0
1747760813,64.0
1747760818,68.0
1747760843,70.0
1747760853,71.0
1747760858,72.0
1747760863,74.0
1747760873,77.0
1747760883,81.0
1747760888,83.0
1747760898,87.0
1747760908,90.0
1747760913,91.0
1747760918,92.0
1747760923,91.0
1747760928,90.0
1747760948,90.0
1747760953,87.0
1747760958,84.0
1747760963,82.0
1747760968,81.0
1747760978,82.0
1747760983,84.0
1747760993,87.0
1747760998,90.0
1747761003,91.0
1747761008,92.0
1747761013,92.0
1747761018,91.0
1747761023,90.0
1747761028,90.0
1747761033,87.0
1747761038,83.0
1747761043,79.0
1747761058,77.0
1747761063,74.0
1747761068,69.0
1747761073,61.0
1747761078,54.0
1747761083,51.0
1747761088,47.0
1747761093,45.0
1747761098,42.0
1747761103,41.0
1747761113,41.0
1747761118,39.0
1747761128,36.0
1747761133,34.0
1747761143,30.0
1747761148,29.0
1747761153,28.0
1747761168,27.0
1747761173,31.0
1747761178,35.0
1747761188,38.0
1747761198,42.0
1747761203,47.0
1747761208,50.0
1747761218,52.0
1747761223,55.0
1747761228,57.0
1747761233,61.0
1747761238,62.0
1747761243,67.0
1747761248,70.0
1747761253,61.0
1747761298,62.0
1747761313,63.0
1747761318,61.0
1747761323,62.0
1747761328,64.0
1747761343,67.0
1747761348,70.0
1747761353,71.0
1747761368,72.0
1747761373,75.0
1747761388,77.0
1747761393,78.0
1747761398,79.0
1747761408,80.0
1747761413,81.0
1747761418,82.0
1747761423,82.0
1747761433,80.0
1747761438,71.0
1747761443,-1
1747761448,-1
1747761453,-1
1747761458,-1
1747761463,-1
1747761483,-1
1747761488,39.0
1747761493,36.0
1747761503,36.0
1747761513,32.0
1747761518,31.0
1747761523,34.0
1747761528,35.0
1747761538,37.0
1747761543,39.0
1747761548,41.0
1747761558,42.0
1747761563,44.0
1747761568,46.0
1747761573,50.0
1747761583,51.0
1747761588,-1
1747761593,-1
1747761598,-1
1747761603,-1
1747761618,-1
