timestamp,value
1747760494,0.03
1747760524,0.05
1747760554,0.08
1747760584,0.11
1747760614,0.13
1747760644,0.15
1747760674,0.16
1747760704,0.18
1747760734,0.19
1747760764,0.35
1747760794,0.45
1747760824,0.55
1747760854,0.57
1747760884,0.55
1747760914,0.59
1747760944,0.65
1747760974,0.58
1747761004,0.55
1747761034,0.54
1747761064,0.52
1747761094,0.50
1747761124,0.45
1747761154,0.55
1747761184,0.57
1747761214,0.59
1747761244,0.61
1747761274,0.63
1747761304,0.67
1747761334,0.69
1747761364,0.74
1747761394,0.77
1747761424,0.81
1747761454,0.85
1747761484,0.89
1747761514,0.95
1747761544,0.94
1747761574,0.93
1747761604,0.92
1747761634,0.90
1747761664,0.82
1747761694,0.77
1747761724,0.82
1747761754,0.84
1747761784,0.85
1747761814,0.89
1747761844,0.91
1747761874,0.92
1747761904,0.93
1747761934,0.94
1747761964,0.92
1747761994,0.90
1747762024,0.87
1747762054,0.85
1747762084,0.84
1747762114,0.83
1747762144,0.82
1747762174,0.85
1747762204,0.87
1747762234,0.89
1747762264,0.91
1747762294,0.92
1747762324,0.93
1747762354,0.94
1747762384,0.96
1747762414,0.95
1747762444,0.92
1747762474,0.91
1747762504,0.90
1747762534,0.87
1747762564,0.84
1747762594,0.82
1747762624,0.81
1747762654,0.81
1747762684,0.80
1747762714,0.78
1747762744,0.76
1747762774,0.72
1747762804,0.71
1747762834,0.70
1747762864,0.68
1747762894,0.64
1747762924,0.61
1747762954,0.62
1747762984,0.64
1747763014,0.66
1747763044,0.68
1747763074,0.71
1747763104,0.72
1747763134,0.74
1747763164,0.79
1747763194,0.81
1747763224,0.84
1747763254,0.86
1747763284,0.89
1747763314,0.90
1747763344,0.91
1747763374,0.92
1747763404,0.92
1747763434,0.93
1747763464,0.91
1747763494,0.89
1747763524,0.85
1747763554,0.84
1747763584,0.82
1747763614,0.81
1747763644,0.80
1747763674,0.79
1747763704,0.76
1747763734,0.74
1747763764,0.74
1747763794,-1
1747763824,-1
1747763854,-1
1747763884,-1
1747763914,-1
1747763944,-1
1747763974,-1
1747764004,-1
1747764034,0.65
1747764064,0.63
1747764094,0.61
1747764124,0.57
1747764154,0.55
1747764184,0.53
1747764214,0.52
1747764244,0.53
1747764274,0.54
1747764304,0.55
1747764334,0.57
1747764364,0.60
1747764394,0.55
