timestamp,value
1747760494,Wake
1747760524,Wake
1747760554,Wake
1747760584,Wake
1747760614,Wake
1747760644,Wake
1747760674,Wake
1747760704,Wake
1747760734,Wake
1747760764,Light
1747760794,Light
1747760824,Light
1747760854,Light
1747760884,Light
1747760914,Light
1747760944,Light
1747760974,Light
1747761004,Light
1747761034,Light
1747761064,Light
1747761094,Light
1747761124,Light
1747761154,Light
1747761184,Light
1747761214,Light
1747761244,Light
1747761274,Light
1747761304,Light
1747761334,Light
1747761364,Deep
1747761394,Deep
1747761424,Deep
1747761454,Deep
1747761484,Deep
1747761514,Deep
1747761544,Deep
1747761574,Deep
1747761604,Deep
1747761634,Deep
1747761664,Deep
1747761694,Deep
1747761724,Deep
1747761754,Deep
1747761784,Deep
1747761814,Deep
1747761844,Deep
1747761874,Deep
1747761904,Deep
1747761934,Deep
1747761964,Deep
1747761994,Deep
1747762024,Deep
1747762054,Deep
1747762084,Deep
1747762114,Deep
1747762144,Deep
1747762174,Deep
1747762204,Deep
1747762234,Deep
1747762264,Deep
1747762294,Deep
1747762324,Deep
1747762354,Deep
1747762384,Deep
1747762414,Deep
1747762444,Deep
1747762474,Deep
1747762504,Deep
1747762534,Deep
1747762564,Deep
1747762594,Deep
1747762624,Deep
1747762654,Deep
1747762684,Deep
1747762714,Deep
1747762744,Deep
1747762774,Deep
1747762804,Deep
1747762834,Deep
1747762864,Deep
1747762894,Deep
1747762924,Deep
1747762954,Deep
1747762984,Deep
1747763014,Deep
1747763044,Deep
1747763074,Deep
1747763104,Deep
1747763134,Deep
1747763164,Deep
1747763194,Deep
1747763224,Deep
1747763254,Deep
1747763284,Deep
1747763314,Deep
1747763344,Deep
1747763374,Light
1747763404,Light
1747763434,Light
1747763464,Light
1747763494,Light
1747763524,Light
1747763554,Light
1747763584,Light
1747763614,Light
1747763644,Light
1747763674,Light
1747763704,Light
1747763734,Light
1747763764,Light
1747763794,Light
1747763824,Light
1747763854,Light
1747763884,Light
1747763914,Light
1747763944,Light
1747763974,Light
1747764004,Light
1747764034,Light
1747764064,Light
1747764094,Light
1747764124,Light
1747764154,Light
1747764184,Light
1747764214,Light
1747764244,Light
1747764274,Light
1747764304,Light
1747764334,Light
1747764364,Light
1747764394,Light
1747764424,Light
1747764454,Light
1747764484,Light
1747764514,Light
1747764544,Light
1747764574,Light
1747764604,Light
1747764634,Light
1747764664,Light
1747764694,Light
1747764724,Light
1747764754,Light
1747764784,Light
1747764814,Light
1747764844,Light
1747764874,Light
1747764904,Light
1747764934,Light
1747764964,Light
1747764994,Light
1747765024,Light
1747765054,Light
1747765084,Light
1747765114,Deep
1747765144,Deep
1747765174,Deep
1747765204,Deep
1747765234,Deep
1747765264,Deep
1747765294,Deep
1747765324,Deep
1747765354,Deep
1747765384,Deep
1747765414,Deep
1747765444,Deep
1747765474,Deep
1747765504,Deep
1747765534,Deep
1747765564,Deep
1747765594,Deep
1747765624,Deep
1747765654,Deep
1747765684,Deep
1747765714,Deep
1747765744,Deep
1747765774,Deep
1747765804,Deep
1747765834,Deep
1747765864,Deep
1747765894,Deep
1747765924,Deep
1747765954,Deep
1747765984,Deep
1747766014,Deep
1747766044,Light
1747766074,Light
1747766104,Light
1747766134,Light
1747766164,Light
1747766194,Light
1747766224,Light
1747766254,Light
1747766284,Light
1747766314,Light
1747766344,Light
1747766374,Light
1747766404,Light
1747766434,Light
1747766464,Light
1747766494,Light
1747766524,Light
1747766554,Light
1747766584,Light
1747766614,Light
1747766644,Light
1747766674,Light
1747766704,Light
1747766734,Light
1747766764,Light
1747766794,Light
1747766824,Light
1747766854,Light
1747766884,Light
1747766914,Light
1747766944,Light
1747766974,Light
1747767004,Light
1747767034,Deep
1747767064,Deep
1747767094,Deep
1747767124,Deep
1747767154,Light
1747767184,Light
1747767214,Light
1747767244,Light
1747767274,Light
1747767304,Light
1747767334,Light
1747767364,Light
1747767394,Light
